State,id,Start,End,Max,MaxM
Alabama,1,1,59,1110132,1.110132
Alaska,2,60,118,295046,0.295046
Arizona,4,119,177,2162602,2.162602
Arkansas,5,178,236,765260,0.76526
California,6,237,295,10634752,10.634752
Colorado,8,296,354,1626499,1.626499
Connecticut,9,355,413,1195617,1.195617
Delaware,10,414,472,275467,0.275467
District of Columbia,11,473,531,225875,0.225875
Florida,12,532,590,5900450,5.90045
Georgia,13,591,649,2366573,2.366573
Hawaii,15,650,708,436036,0.436036
Idaho,16,709,767,471043,0.471043
Illinois,17,768,826,3473676,3.473676
Indiana,18,827,885,1844669,1.844669
Iowa,19,886,944,906470,0.90647
Kansas,20,945,1003,734335,0.734335
Kentucky,21,1004,1062,1254160,1.25416
Louisiana,22,1063,1121,1180945,1.180945
Maine,23,1122,1180,399534,0.399534
Maryland,24,1181,1239,1645609,1.645609
Massachusetts,25,1240,1298,2148356,2.148356
Michigan,26,1299,1357,2716893,2.716893
Minnesota,27,1358,1416,1681447,1.681447
Mississippi,28,1417,1475,764699,0.764699
Missouri,29,1476,1534,1600118,1.600118
Montana,30,1535,1593,337005,0.337005
Nebraska,31,1594,1652,556061,0.556061
Nevada,32,1653,1711,829262,0.829262
New Hampshire,33,1712,1770,382103,0.382103
New Jersey,34,1771,1829,2534361,2.534361
New Mexico,35,1830,1888,814029,0.814029
New York,36,1889,1947,5237597,5.237597
North Carolina,37,1948,2006,2830672,2.830672
North Dakota,38,2007,2065,272721,0.272721
Ohio,39,2066,2124,3131288,3.131288
Oklahoma,40,2125,2183,1278427,1.278427
Oregon,41,2184,2242,1172840,1.17284
Pennsylvania,42,2243,2301,3319263,3.319263
Puerto Rico,72,2302,2360,628400,0.6284
Rhode Island,44,2361,2419,319369,0.319369
South Carolina,45,2420,2478,1347330,1.34733
South Dakota,46,2479,2537,322959,0.322959
Tennessee,47,2538,2596,1634598,1.634598
Texas,48,2597,2655,6938167,6.938167
Utah,49,2656,2714,833167,0.833167
Vermont,50,2715,2773,191529,0.191529
Virginia,51,2774,2832,2445932,2.445932
Washington,53,2833,2891,2143916,2.143916
West Virginia,54,2892,2950,601440,0.60144
Wisconsin,55,2951,3009,1770069,1.770069
Wyoming,56,3010,3068,178035,0.178035
