,State,Delivered,Administered,Percentage ,id,code
0,Alaska,271550,199151,73.33861167,2,AK
1,Alabama,1032175,672038,65.10892048,1,AL
2,Arkansas,664225,490737,73.88113967,5,AR
3,Arizona,1396475,1202770,86.12900338,4,AZ
4,California,8722400,6496140,74.47652022,6,CA
5,Colorado,1282300,1053041,82.12126647,8,CO
6,Connecticut,922075,767183,83.20180029,9,CT
7,District of Columbia,193900,130437,67.27024239,11,DC
8,Delaware,189050,159845,84.5517059,10,DE
9,Florida,4700950,3819224,81.24366351,12,FL
10,Federated States of Micronesia,30000,11119,37.06333333,64,FM
11,Georgia,2145525,1569216,73.13902192,13,GA
12,Guam,51300,42671,83.17933723,66,GU
13,Hawaii,320950,247392,77.08116529,15,HI
14,Iowa,648600,507650,78.26857848,19,IA
15,Idaho,336650,278474,82.71914451,16,ID
16,Illinois,2706400,2037388,75.28037245,17,IL
17,Indiana,1452900,1125976,77.4985202,18,IN
18,Kansas,581975,417825,71.79432106,20,KS
19,Kentucky,950600,726168,76.39049022,21,KY
20,Louisiana,928425,795511,85.68392708,22,LA
21,Massachusetts,1526150,1214821,79.60036694,25,MA
22,Maryland,1249925,930567,74.44982699,24,MD
23,Maine,321850,242445,75.32856921,23,ME
24,Marshall Islands,21000,6760,32.19047619,68,MH
25,Michigan,2174800,1718790,79.03209491,26,MI
26,Minnesota,1200250,957275,79.75630077,27,MN
27,Missouri,1144775,915475,79.96986307,29,MO
28,Northern Mariana Islands,29650,15112,50.96795953,69,MP
29,Mississippi,616050,438364,71.15721127,28,MS
30,Montana,208225,190070,91.28106615,30,MT
31,North Carolina,2119250,1782267,84.0989501,37,NC
32,North Dakota,163150,156751,96.07784248,38,ND
33,Nebraska,427000,305057,71.44192037,31,NE
34,New Hampshire,321625,226863,70.53649436,33,NH
35,New Jersey,1790200,1542174,86.14534689,34,NJ
36,New Mexico,454450,456034,100.3485532,35,NM
37,Nevada,593275,466981,78.7124015,32,NV
38,Ohio,2402050,1861434,77.49355759,39,OH
39,Oklahoma,816650,700440,85.76991367,40,OK
40,Oregon,878600,708570,80.64762122,41,OR
41,Pennsylvania,2731050,2002786,73.33391919,42,PA
42,Puerto Rico,733200,408058,55.65439171,72,PR
43,Rhode Island,234500,159931,68.20085288,44,RI
44,South Carolina,939350,778113,82.83525842,45,SC
45,South Dakota,197050,171175,86.86881502,46,SD
46,Tennessee,1410500,1014351,71.91428571,47,TN
47,Texas,5258675,4333726,82.41098756,48,TX
48,Utah,618325,551742,89.23171471,49,UT
49,Virginia,1714800,1503786,87.69454164,51,VA
50,Vermont,151350,118184,78.08655434,50,VT
51,Washington,1500325,1255764,83.69946512,53,WA
52,Wisconsin,1243125,1040145,83.67179487,55,WI
53,West Virginia,441500,403532,91.4002265,54,WV
54,Wyoming,127075,105426,82.96360417,56,WY
